organisasjonsnummer,naeringskode_2
914807077,46.710
918260315,18.120
980538613,71.129
961449189,25.620
919213566,45.200
980813215,47.710
960804953,45.200
912771784,45.112
932580861,45.310
942962568,77.110
913875818,25.120
954852873,46.210
966833300,56.101
953452626,47.521
871461422,88.999
914858488,47.523
952522035,74.909
912630714,71.129
960688546,25.620
979889402,47.241
923609016,06.200
915442552,46.610
980334171,47.230
877563812,56.101
919763914,47.789
979890087,47.220
937817983,45.200
977024420,25.110
937665393,45.200
918414304,23.630
876785722,85.599
920852963,95.110
971078855,88.911
979415117,27.320
960496671,88.911
914482348,52.100
871035032,37.000
910608193,25.610
976711556,47.913
977047684,45.112
979484488,46.460
952000551,10.710
947820370,45.191
963193149,47.529
944019502,45.200
933625583,45.112
946768316,18.130
887931402,20.410
932925753,09.101
882288072,47.112
971337435,88.911
912892212,73.120
966167599,49.392
810034882,47.592
959499101,25.720
958313632,47.532
977459672,86.904
969171597,10.710
929729161,72.110
971080426,88.999
946846856,55.201
971554940,85.310
971339012,88.911
954676250,88.911
948710854,46.494
929387384,28.250
979278799,50.201
937665482,45.112
980893936,46.520
978684335,45.200
984735227,30.116
985729220,16.231
982692946,46.900
985622736,10.710
994968769,23.120
996221423,70.220
994668242,46.900
990834210,88.911
989057464,77.320
991375333,86.909
983974678,86.906
991510079,47.241
996335429,46.630
995642034,91.021
983426417,06.100
981603702,62.020
989176226,45.320
982820685,25.610
991270574,10.710
986926909,46.691
986423516,55.202
986476695,88.911
987656255,47.111
984117582,52.100
993272590,85.310
990441545,30.116
993044679,78.200
971038071,55.900
997384091,85.201
918324909,78.200
