family_id,family member
1,9425213
1,4094556
1,4326547
1,7975560
1,6726722
1,7074164
1,2522245
1,8592726
1,7461342
1,9756392
1,9758482
1,6201887
2,9309448
2,8313600
2,8920671
2,5978845
2,7456731
2,7520676
3,8784399
3,3719405
3,1072805
3,4441222
3,4956065
3,8803881
3,4186231
3,3676291
3,7023868
3,7588307
3,6137671
3,5389555
3,4566245
3,9728610
3,2803576
3,4572090
3,8293112
3,9756717
3,1202922
3,8882691
3,1017329
3,8789870
3,1297146
3,2125271
3,1287196
3,9478696
3,3792230
3,2250771
3,7417444
3,8100458
3,5216021
3,8912301
3,5553235
3,9718607
4,1340941
4,6571487
4,9150588
4,8253501
4,1788741
4,8262065
4,6681880
4,8270651
4,2103573
4,4501426
4,9658011
4,8719308
4,9988313
4,3141704
4,6935737
4,3138287
4,5336671
4,7599122
4,8953770
4,2376053
4,1354789
4,2047056
4,6328435
4,5156461
4,9438038
4,3340442
4,7982135
4,1001018
4,4397344
4,5283473
4,9623697
4,3558982
4,1050665
4,6760428
4,7416745
4,9297348
4,3897853
4,2875400
4,4507733
4,1195339
4,6921213
4,8801522
4,4211229
4,8190229
4,2214180
5,8111633
6,7827661
7,7836108
8,8781308
8,6364471
8,3275625
8,8004295
8,4491505
8,1503992
8,2093420
8,7088183
8,2016035
8,3981970
8,4862084
8,2392081
8,7826085
8,7973427
8,4816316
8,9327745
8,5233862
8,3842906
8,5871593
8,2203867
8,8847494
8,4995853
8,1558664
8,6552176
8,1999806
8,1089849
8,9520103
8,1319261
8,7087139
8,9398208
8,7237341
8,2609478
8,2312858
8,2723303
8,4793150
8,8473996
8,8000553
8,6375501
8,4715451
8,5489583
8,2754086
8,5052246
8,5420086
8,8817655
8,4945621
8,3791513
8,1633987
8,5402666
8,9739595
8,2356071
8,3983089
8,6763653
8,2704999
8,6167163
8,1520088
8,3340375
8,7758949
8,2544616
8,5163381
8,3704289
8,3835307
8,2868851
8,2499266
8,6091624
8,5087264
8,4351432
8,6870991
8,5238186
8,7395311
9,4179085
10,5585906
10,2427614
10,3082015
10,8509974
10,8471614
10,4827827
10,5680343
10,2494996
10,2122368
10,7060012
10,2364716
10,8518252
10,2206884
10,8091104
10,8211506
10,2927891
10,5262832
10,3690684
10,2512884
10,8587804
10,7672274
10,7753852
10,6021059
10,7177953
10,2471059
10,9358255
10,2016833
10,4758050
10,5033161
10,7781284
10,8368153
11,3793255
11,5224638
11,8287080
11,1161119
11,8485020
11,7724637
11,6510806
11,8127385
11,4462453
11,3340173
11,3182700
11,6538402
11,9003652
11,3122588
12,8993175
13,7012756
13,5639907
14,6409920
15,7124822
15,6364471
15,9546132
15,7890618
15,4158945
15,6006601
15,5318074
15,6164615
15,3564193
15,2962848
15,1456058
15,4743636
15,4655937
15,3496975
15,5514056
15,5282482
15,6936778
15,9484921
15,1378147
